id,code_model,net_slip,net_slip_uom,hor_throw,hor_throw_uom,ver_throw,ver_throw_uom,str_slip,str_slip_uom,heave,heave_uom,dip_slip,dip_slip_uom,rake,rake_uom,pitch,pitch_uom
FLT_0001_001,F325,,mm,,mm,,mm,,mm,,mm,,mm,,deg,,deg
FLT_0002_001,F325,,mm,,mm,,mm,,mm,,mm,,mm,,deg,,deg
FLT_0002_002,F325,,mm,,mm,,mm,,mm,,mm,,mm,,deg,,deg
FLT_0002_003,F325,,mm,,mm,,mm,,mm,,mm,,mm,,deg,,deg
FLT_0002_004,F325,,mm,,mm,,mm,,mm,,mm,,mm,,deg,,deg
FLT_0003_001,F325,,mm,,mm,,mm,,mm,,mm,,mm,,deg,,deg
FLT_0003_002,F325,,mm,,mm,,mm,,mm,,mm,,mm,,deg,,deg
FLT_0003_003,F325,,mm,,mm,,mm,,mm,,mm,,mm,,deg,,deg
FLT_0003_004,F325,,mm,,mm,,mm,,mm,,mm,,mm,,deg,,deg
FLT_0004_001,F325,,mm,,mm,,mm,,mm,,mm,,mm,,deg,,deg
FLT_0004_002,F325,,mm,,mm,,mm,,mm,,mm,,mm,,deg,,deg
FLT_0005_001,F325,,mm,,mm,,mm,,mm,,mm,,mm,,deg,,deg
FLT_0005_002,F325,,mm,,mm,,mm,,mm,,mm,,mm,,deg,,deg
FLT_0005_003,F325,,mm,,mm,,mm,,mm,,mm,,mm,,deg,,deg
FLT_0006_001,F325,,mm,,mm,,mm,,mm,,mm,,mm,,deg,2.89,deg
FLT_0007_001,F325,,mm,,mm,,mm,,mm,,mm,,mm,,deg,,deg
FLT_0007_002,F325,,mm,,mm,,mm,,mm,,mm,,mm,,deg,,deg
FLT_0009_001,F325,,mm,,mm,,mm,,mm,,mm,,mm,,deg,,deg
FLT_0009_002,F325,,mm,,mm,,mm,,mm,,mm,,mm,,deg,,deg
FLT_0009_003,F325,,mm,,mm,,mm,,mm,,mm,,mm,,deg,,deg
FLT_0009_004,F325,,mm,,mm,,mm,,mm,,mm,,mm,,deg,,deg
FLT_0009_005,F325,,mm,,mm,,mm,,mm,,mm,,mm,,deg,,deg
FLT_0009_006,F325,,mm,,mm,2.56,mm,,mm,,mm,,mm,,deg,,deg
FLT_0009_007,F325,,mm,,mm,,mm,,mm,,mm,,mm,,deg,,deg
FLT_0009_008,F325,,mm,,mm,,mm,,mm,,mm,,mm,,deg,,deg
FLT_0009_009,F325,,mm,,mm,,mm,,mm,,mm,,mm,,deg,,deg
FLT_0009_010,F325,,mm,,mm,,mm,,mm,,mm,,mm,,deg,,deg
FLT_0009_011,F325,,mm,1,mm,,mm,,mm,,mm,,mm,,deg,234,deg
FLT_0009_012,F325,,mm,,mm,,mm,,mm,,mm,,mm,,deg,,deg
FLT_0009_013,F325,,mm,,mm,,mm,,mm,,mm,,mm,,deg,,deg
FLT_0009_014,F325,,mm,,mm,,mm,,mm,,mm,,mm,,deg,,deg
FLT_0010_002,F325,,mm,,mm,,mm,,mm,,mm,,mm,,deg,,deg
FLT_0010_004,F325,,mm,,mm,,mm,,mm,,mm,,mm,,deg,,deg
FLT_0010_005,F325,,mm,,mm,,mm,,mm,,mm,,mm,,deg,,deg
FLT_0010_006,F325,,mm,,mm,,mm,,mm,,mm,,mm,,deg,,deg
FLT_0010_007,F325,,mm,,mm,,mm,,mm,,mm,,mm,,deg,,deg
FLT_0010_008,F325,,mm,,mm,,mm,,mm,,mm,,mm,,deg,,deg
FLT_0010_009,F325,,mm,,mm,,mm,,mm,,mm,,mm,,deg,,deg
FLT_0010_010,F325,,mm,,mm,,mm,,mm,,mm,,mm,,deg,,deg
FLT_0010_011,F325,,mm,,mm,,mm,,mm,,mm,,mm,,deg,,deg
FLT_0010_012,F325,,mm,,mm,,mm,,mm,,mm,,mm,,deg,,deg
FLT_0010_013,F325,,mm,,mm,,mm,,mm,,mm,,mm,,deg,,deg
FLT_0010_014,F325,,mm,,mm,,mm,,mm,,mm,,mm,,deg,,deg
FLT_0010_015,F325,,mm,,mm,,mm,,mm,,mm,,mm,,deg,,deg
FLT_0010_016,F325,,mm,,mm,,mm,,mm,,mm,,mm,,deg,,deg
FLT_0010_017,F325,,mm,,mm,,mm,,mm,,mm,,mm,,deg,,deg
FLT_0010_018,F325,,mm,,mm,,mm,,mm,,mm,,mm,,deg,,deg
FLT_0010_019,F325,,mm,,mm,,mm,,mm,,mm,,mm,,deg,,deg
FLT_0010_020,F325,,mm,,mm,,mm,,mm,,mm,,mm,,deg,,deg
FLT_0010_021,F325,,mm,,mm,,mm,,mm,,mm,,mm,,deg,,deg
FLT_0010_022,F325,,mm,,mm,,mm,,mm,,mm,,mm,,deg,,deg
FLT_0010_023,F325,,mm,,mm,,mm,,mm,,mm,,mm,,deg,,deg
FLT_0010_024,F325,,mm,,mm,,mm,,mm,,mm,,mm,,deg,,deg
FLT_0010_025,F325,,mm,,mm,,mm,,mm,,mm,,mm,,deg,,deg
FLT_0010_026,F325,,mm,,mm,,mm,,mm,,mm,,mm,,deg,,deg
FLT_0010_027,F325,,mm,,mm,,mm,,mm,,mm,,mm,,deg,,deg
FLT_0010_028,F325,,mm,,mm,,mm,,mm,,mm,,mm,,deg,,deg
FLT_0010_029,F325,,mm,,mm,,mm,,mm,,mm,,mm,,deg,,deg
FLT_0010_030,F325,,mm,,mm,,mm,,mm,,mm,,mm,,deg,,deg
FLT_0011_001,F325,,mm,,mm,,mm,,mm,,mm,,mm,,deg,,deg
FLT_0011_002,F325,,mm,,mm,,mm,,mm,,mm,,mm,,deg,,deg
FLT_0011_003,F325,,mm,,mm,,mm,,mm,,mm,,mm,,deg,,deg
FLT_0011_004,F325,,mm,,mm,,mm,,mm,,mm,,mm,,deg,,deg
FLT_0011_005,F325,,mm,,mm,,mm,,mm,,mm,,mm,,deg,,deg
FLT_0011_006,F325,,mm,,mm,,mm,,mm,,mm,,mm,,deg,,deg
FLT_0011_007,F325,,mm,,mm,,mm,,mm,,mm,,mm,,deg,,deg
FLT_0011_008,F325,,mm,,mm,,mm,,mm,,mm,,mm,,deg,,deg
FLT_0011_009,F325,,mm,,mm,,mm,,mm,,mm,,mm,,deg,,deg
FLT_0011_010,F325,,mm,,mm,,mm,,mm,,mm,,mm,,deg,,deg
FLT_0011_011,F325,,mm,,mm,,mm,,mm,,mm,,mm,,deg,,deg
FLT_0011_012,F325,,mm,,mm,,mm,,mm,,mm,,mm,,deg,,deg
FLT_0011_013,F325,,mm,,mm,,mm,,mm,,mm,,mm,,deg,,deg
FLT_0011_014,F325,,mm,,mm,,mm,,mm,,mm,,mm,,deg,,deg
FLT_0011_015,F325,,mm,,mm,,mm,,mm,,mm,,mm,,deg,,deg
FLT_0011_016,F325,,mm,,mm,,mm,,mm,,mm,,mm,,deg,,deg
FLT_0011_017,F325,,mm,,mm,,mm,,mm,,mm,,mm,,deg,,deg
FLT_0011_018,F325,,mm,,mm,,mm,,mm,,mm,,mm,,deg,,deg
FLT_0011_019,F325,,mm,,mm,,mm,,mm,,mm,,mm,,deg,,deg
FLT_0011_020,F325,,mm,,mm,,mm,,mm,,mm,,mm,,deg,,deg
FLT_0011_021,F325,,mm,,mm,,mm,,mm,,mm,,mm,,deg,,deg
FLT_0011_022,F325,,mm,,mm,,mm,,mm,,mm,,mm,,deg,,deg
FLT_0011_023,F325,,mm,,mm,,mm,,mm,,mm,,mm,,deg,,deg
FLT_0011_024,F325,,mm,,mm,,mm,,mm,,mm,,mm,,deg,,deg
FLT_0011_025,F325,,mm,,mm,,mm,,mm,,mm,,mm,,deg,,deg
FLT_0011_026,F325,,mm,,mm,,mm,,mm,,mm,,mm,,deg,,deg
FLT_0011_027,F325,,mm,,mm,,mm,,mm,,mm,,mm,,deg,,deg
FLT_0011_028,F325,,mm,,mm,,mm,,mm,,mm,,mm,,deg,,deg
FLT_0011_029,F325,,mm,,mm,,mm,,mm,,mm,,mm,,deg,,deg
FLT_0011_030,F325,,mm,,mm,,mm,,mm,,mm,,mm,,deg,,deg
FLT_0011_031,F325,,mm,,mm,,mm,,mm,,mm,,mm,,deg,,deg
FLT_0011_032,F325,,mm,,mm,,mm,,mm,,mm,,mm,,deg,,deg
FLT_0011_033,F325,,mm,,mm,,mm,,mm,,mm,,mm,,deg,,deg
FLT_0011_034,F325,,mm,,mm,,mm,,mm,,mm,,mm,,deg,,deg
FLT_0012_001,F325,,mm,,mm,,mm,,mm,,mm,,mm,,deg,,deg
FLT_0012_002,F325,,mm,,mm,,mm,,mm,,mm,,mm,,deg,,deg
FLT_0012_003,F325,,mm,,mm,,mm,,mm,,mm,,mm,,deg,,deg
FLT_0012_004,F325,,mm,,mm,,mm,,mm,,mm,,mm,,deg,,deg
FLT_0012_005,F325,,mm,,mm,,mm,,mm,,mm,,mm,,deg,,deg
FLT_0012_006,F325,,mm,,mm,,mm,,mm,,mm,,mm,,deg,,deg
FLT_0012_007,F325,,mm,,mm,,mm,,mm,,mm,,mm,,deg,,deg
FLT_0012_008,F325,,mm,,mm,,mm,,mm,,mm,,mm,,deg,,deg
FLT_0012_009,F325,,mm,,mm,,mm,,mm,,mm,,mm,,deg,,deg
FLT_0012_010,F325,,mm,,mm,,mm,,mm,,mm,,mm,,deg,,deg
FLT_0012_011,F325,,mm,,mm,,mm,,mm,,mm,,mm,,deg,,deg
FLT_0012_012,F325,,mm,,mm,,mm,,mm,,mm,,mm,,deg,,deg
FLT_0012_013,F325,,mm,,mm,,mm,,mm,,mm,,mm,,deg,,deg
FLT_0012_014,F325,,mm,,mm,,mm,,mm,,mm,,mm,,deg,,deg
FLT_0012_015,F325,,mm,,mm,,mm,,mm,,mm,,mm,,deg,,deg
FLT_0012_016,F325,,mm,,mm,,mm,,mm,,mm,,mm,,deg,,deg
FLT_0012_017,F325,,mm,,mm,,mm,,mm,,mm,,mm,,deg,,deg
FLT_0013_001,F325,,mm,,mm,,mm,,mm,,mm,,mm,,deg,,deg
FLT_0014_001,F325,,mm,,mm,,mm,,mm,,mm,,mm,,deg,,deg
FLT_0015_001,F325,,mm,,mm,,mm,,mm,,mm,,mm,,deg,,deg
FLT_0016_001,F325,,mm,,mm,,mm,,mm,,mm,,mm,,deg,,deg
FLT_0017_001,F325,,mm,,mm,,mm,,mm,,mm,,mm,,deg,,deg
FLT_0018_001,F325,,mm,,mm,,mm,,mm,,mm,,mm,,deg,,deg
FLT_0019_001,F325,,mm,,mm,,mm,,mm,,mm,,mm,,deg,,deg
FLT_0020_001,F325,,mm,,mm,,mm,,mm,,mm,,mm,,deg,,deg
FLT_0021_001,F325,,mm,,mm,,mm,,mm,,mm,,mm,,deg,,deg
FLT_0022_001,F325,,mm,,mm,,mm,,mm,,mm,,mm,,deg,,deg
FLT_0023_001,F325,,mm,,mm,,mm,,mm,,mm,,mm,,deg,,deg
FLT_0024_001,F325,,mm,,mm,,mm,,mm,,mm,,mm,,deg,,deg
FLT_0025_001,F325,,mm,,mm,,mm,,mm,,mm,,mm,,deg,,deg
FLT_0026_001,F325,,mm,,mm,,mm,,mm,,mm,,mm,,deg,,deg
FLT_0027_001,F325,,mm,,mm,,mm,,mm,,mm,,mm,,deg,,deg
FLT_0028_001,F325,,mm,,mm,,mm,,mm,,mm,,mm,,deg,,deg
FLT_0029_001,F325,,mm,,mm,,mm,,mm,,mm,,mm,,deg,,deg
FLT_0030_001,F325,,mm,,mm,,mm,,mm,,mm,,mm,,deg,,deg
FLT_0031_001,F325,,mm,,mm,,mm,,mm,,mm,,mm,,deg,,deg
FLT_0032_001,F325,,mm,,mm,,mm,,mm,,mm,,mm,,deg,,deg
FLT_0033_001,F325,,mm,,mm,,mm,,mm,,mm,,mm,,deg,,deg
FLT_0034_001,F325,,mm,,mm,,mm,,mm,,mm,,mm,,deg,,deg
FLT_0035_001,F325,,mm,,mm,,mm,,mm,,mm,,mm,,deg,,deg
FLT_0036_001,F325,,mm,,mm,,mm,,mm,,mm,,mm,,deg,,deg
FLT_0037_001,F325,,mm,,mm,,mm,,mm,,mm,,mm,,deg,,deg
FLT_0038_001,F325,,mm,,mm,,mm,,mm,,mm,,mm,,deg,,deg
FLT_0039_001,F325,,mm,,mm,,mm,,mm,,mm,,mm,,deg,,deg
FLT_0040_001,F325,,mm,,mm,,mm,,mm,,mm,,mm,,deg,,deg
FLT_0041_001,F325,,mm,,mm,,mm,,mm,,mm,,mm,,deg,,deg
FLT_0042_001,F325,,mm,,mm,,mm,,mm,,mm,,mm,,deg,,deg
FLT_0043_001,F325,,mm,,mm,,mm,,mm,,mm,,mm,,deg,,deg
FLT_0044_001,F325,,mm,,mm,,mm,,mm,,mm,,mm,,deg,,deg
FLT_0045_001,F325,,mm,,mm,,mm,,mm,,mm,,mm,,deg,,deg
FLT_0046_001,F325,,mm,,mm,,mm,,mm,,mm,,mm,,deg,,deg
FLT_0047_001,F325,,mm,,mm,,mm,,mm,,mm,,mm,,deg,,deg
FLT_0048_001,F325,,mm,,mm,,mm,,mm,,mm,,mm,,deg,,deg
FLT_0049_001,F325,,mm,,mm,,mm,,mm,,mm,,mm,,deg,,deg
FLT_0050_001,F325,,mm,,mm,,mm,,mm,,mm,,mm,,deg,,deg
FLT_0051_001,F325,,mm,,mm,,mm,,mm,,mm,,mm,,deg,,deg
FLT_0052_001,F325,,mm,,mm,,mm,,mm,,mm,,mm,,deg,,deg
FLT_0053_001,F325,,mm,,mm,,mm,,mm,,mm,,mm,,deg,,deg
FLT_0054_001,F325,,mm,,mm,,mm,,mm,,mm,,mm,,deg,,deg
FLT_0055_001,F325,,mm,,mm,,mm,,mm,,mm,,mm,,deg,,deg
FLT_0056_001,F325,,mm,,mm,,mm,,mm,,mm,,mm,,deg,,deg
FLT_0057_001,F325,,mm,,mm,,mm,,mm,,mm,,mm,,deg,,deg
FLT_0058_001,F325,,mm,,mm,,mm,,mm,,mm,,mm,,deg,,deg
FLT_0059_001,F325,,mm,,mm,,mm,,mm,,mm,,mm,,deg,,deg
FLT_0060_001,F325,,mm,,mm,,mm,,mm,,mm,,mm,,deg,,deg
FLT_0061_001,F325,,mm,,mm,,mm,,mm,,mm,,mm,,deg,,deg
FLT_0062_001,F325,,mm,,mm,,mm,,mm,,mm,,mm,,deg,,deg
FLT_0063_001,F325,,mm,,mm,,mm,,mm,,A,,mm,,deg,,deg
FLT_0064_001,F325,,mm,,mm,,mm,,mm,,mm,,mm,,deg,,deg
FLT_0065_001,F325,,mm,,mm,,mm,,mm,,mm,,mm,,deg,,deg
FLT_0066_001,F325,,mm,,mm,,mm,,mm,,mm,,mm,,degx,,deg
FLT_0067_001,F325,,mm,,mm,,mm,,mm,,mm,,mm,,deg,,deg
FLT_0068_001,F325,,mm,,mm,,mm,,mm,,mm,,mm,,deg,,deg
FLT_0069_001,F325,,mm,,mm,,mm,,mm,,mm,,mm,,deg,,deg
FLT_0070_001,F325,,mm,,mm,,mm,,mm,,mm,,mm,,deg,,deg
FLT_0071_001,F325,,mm,,mm,,mm,,mm,,mm,,mm,,deg,,deg
FLT_0072_001,F325,,mm,,mm,,mm,,mm,,mm,,mm,,deg,,deg
FLT_0073_001,F325,,mm,,mm,,mm,,mm,,mm,,mm,,deg,,deg
FLT_0074_001,F325,,mm,,mm,,mm,,mm,,mm,,mm,,deg,,deg
FLT_0075_001,F325,,mm,,mm,,mm,,mm,,mm,,mm,,deg,,deg
FLT_0076_001,F325,,mm,,mm,,mm,,mm,,mm,,mm,,deg,,deg
FLT_0077_001,F325,,mm,,mm,,mm,,mm,,mm,,mm,,deg,,deg
FLT_0078_001,F325,,mm,,mm,,mm,,mm,,mm,,mm,,deg,,deg
FLT_0079_001,F325,,mm,,mm,,mm,,mm,,mm,,mm,,deg,,deg
FLT_0080_001,F325,,mm,,mm,,mm,,mm,,mmm,,mm,,dega,,deg
